Film,Year,Director,Genre,Budget (₹ Cr),Worldwide Gross (₹ Cr),IMDb Rating,Verdict
Drishyam 2,2021,Jeethu Joseph,Crime Thriller,15,182,8.4,Blockbuster
Kurup,2021,Srinath Rajendran,Crime/Thriller,30,81,7.1,Hit
Minnal Murali,2021,Basil Joseph,Superhero/Comedy,15,~OTT,7.8,OTT Hit
The Great Indian Kitchen,2021,Jeo Baby,Drama,1.5,~OTT,8.5,OTT Critical Hit
Nayattu,2021,Martin Prakkat,Thriller,4,4.7,8.3,Critical Hit
Joji,2021,Dileesh Pothan,Drama/Thriller,3.5,~OTT,7.7,OTT Hit
Marakkar: Lion of The Arabian Sea,2021,Priyadarshan,Period Action,100,47.85,5.5,Flop
Bheeshma Parvam,2022,Amal Neerad,Action Thriller,40,87.65,7.1,Blockbuster
Hridayam,2022,Vineeth Sreenivasan,Romance/Drama,12,55,8.3,Blockbuster
Thallumaala,2022,Khalid Rahman,Action/Comedy,10,47.2,7.8,Super Hit
Jana Gana Mana,2022,Dijo Jose Antony,Crime Thriller,8,50.55,8.5,Blockbuster
Jaya Jaya Jaya Jaya Hey,2022,Vipin Das,Drama/Comedy,5,43.35,8.3,Blockbuster
Romancham,2023,Jithu Madhavan,Horror Comedy,2.5,70,8.1,Blockbuster
2018 (Anyone Can Be a Hero),2023,Jude Anthany Joseph,Disaster Drama,25,155,8.5,All-Time Blockbuster
Kannur Squad,2023,Roby Varghese Raj,Action Thriller,18,82,7.3,Hit
RDX,2023,Nahas Hidayath,Action,12,84.55,7.4,Hit
Bramayugam,2024,Rahul Sadasivan,Horror,3,48,8.3,Blockbuster
Manjummel Boys,2024,Chidambaram,Survival Thriller,20,242.3,8.2,All-Time Blockbuster
Aavesham,2024,Jithu Madhavan,Action/Comedy,18,156,8.5,Blockbuster
Premalu,2024,Girish A.D.,Romantic Comedy,8,135.9,8.4,Blockbuster
